id,name,source,prescription_required,retail_price,discounted_price,manufacturer,packaging_form,salts,quantity_num,cluster
source_2-39664,dolokind gel,source_2,True,93.17,76.4,mankind pharma ltd,Unknown,unknown,30.2,1
source_6-75848,dolokind gel 15gm,source_6,False,84.7,74.54,mankind pharmaceuticals ltd,TUBE,methylsalicylate 5 0 menthol 5 0 capsaicin 0 025 diclofenac 1 16,15.0,5
source_1-65161,dolokind gel 20 gm,source_1,False,93.0,81.8,mankind pharma pvt ltd,Tube | Gel,capsaicin 0 025 w w diclofenac 1 w w menthol 5 w w methyl salicylate 5 w w,20.0,5
source_6-75849,dolokind gel 30gm,source_6,False,39.99,35.19,mankind pharmaceuticals ltd,TUBE,methylsalicylate 5 0 menthol 5 0 capsaicin 0 025 diclofenac 1 16,30.0,5
source_7-90458,dolokind tablet,source_7,True,38.1,36.9,mankind pharma ltd,Unknown,aceclofenac 100mg paracetamol 325mg chlorzoxazone 250mg,10.0,27
source_6-75850,dolokind mr strip 10 tablet,source_6,True,82.5,70.95,mankind pharmaceuticals ltd,STRIP,chlorzoxazone 250 0 mg aceclofenac 100 0 mg paracetamol acetaminophen 325 0 mg,10.0,27
source_2-39666,dolokind mr tablet,source_2,True,82.5,67.65,mankind pharma ltd,Unknown,aceclofenac 100mg paracetamol 325mg chlorzoxazon,8.6,27
source_1-65162,dolokind mr tablet 10,source_1,True,82.5,72.6,mankind pharma pvt ltd,Strip | Tablet,aceclofenac 100mg chlorzoxazone 250mg paracetamol 325mg,10.0,27
source_6-75851,dolokind ortho tablet,source_6,True,38.8,34.14,mankind pharmaceuticals ltd,STRIP,aceclofenac glucosamine methyl sulfonylmethane,10.0,20
source_6-75852,dolokind plus strip 10 tablet,source_6,True,75.3,66.26,mankind pharmaceuticals ltd,STRIP,aceclofenac 100 0 mg paracetamol acetaminophen 325 0 mg,10.0,27
source_6-75853,dolokind plus strip 15 tablet,source_6,True,75.3,66.26,mankind pharmaceuticals ltd,STRIP,aceclofenac 100 0 mg paracetamol acetaminophen 325 0 mg,15.0,27
source_2-39667,dolokind plus tablet,source_2,True,75.3,61.75,mankind pharma ltd,Unknown,aceclofenac 100mg paracetamol acetaminophen 325mg,33.8,27
source_1-65163,dolokind plus tablet 15,source_1,True,75.0,66.0,mankind pharma pvt ltd,Strip | Tablet,aceclofenac 100mg paracetamol 325mg,15.0,27
source_2-39668,dolokind spa 10 mg 500 mg tablet,source_2,True,25.0,20.5,mankind pharma ltd,Unknown,hyoscine butylbromide 10mg paracetamol acetaminoph,19.4,26
source_6-75854,dolokind spa h 10 mg tablet 10,source_6,True,33.33,29.33,mankind pharmaceuticals ltd,STRIP,hyoscyamine paracetamol,30.0,26
source_2-39669,dolokind spa h tablet,source_2,True,33.33,27.33,mankind pharma ltd,Unknown,hyoscyamine 10mg paracetamol acetaminophen na,9.2,26
source_3-2156,dolokind spa inj 1ml,source_3,True,10.33,8.78,mankind pharma ltd,Vial INJECTION,hyoscine butylbromide 20 mg ml,1.0,26
source_6-75855,dolokind spa injection,source_6,True,10.33,9.09,mankind pharmaceuticals ltd,AMPOULE,butylscopolamine 20 0 mg,1.0,26
source_6-75856,dolokind spa injection 2 ml,source_6,True,10.99,10.99,mankind pharmaceuticals ltd,INJECTION,scopolamine 20 0 mg,2.0,26
source_6-75857,dolokind spa rf strip 10 tablet,source_6,True,25.0,25.0,mankind pharmaceuticals ltd,STRIP,hyoscine 10 0 mg paracetamol acetaminophen 500 0 mg,10.0,26
source_2-39670,dolokind spa rf tablet,source_2,True,45.0,36.9,mankind pharma ltd,Unknown,hyoscine butylbromide 10mg paracetamol acetaminoph,27.8,26
source_1-65164,dolokind spa rf tablet 10,source_1,True,25.0,22.0,mankind pharma pvt ltd,Strip | Tablet,hyoscine butylbromide 10mg paracetamol 500mg,10.0,26
source_3-2157,dolokind spa tab 1x10,source_3,True,25.0,21.25,mankind pharma ltd,Strip,hyoscine butylbromide 10 mg paracetamol acetaminophen 500 mg,10.0,26
source_1-65165,dolokind spa tablet 10,source_1,True,27.5,24.2,mankind pharma pvt ltd,Strip | Tablet,hyoscine butylbromide 10mg paracetamol 500mg,10.0,26
source_6-75858,dolokind sr 200mg strip 10 tablet,source_6,True,69.49,61.15,mankind pharmaceuticals ltd,STRIP,aceclofenac 200 0 mg,10.0,20
source_3-2158,dolokind sr tab 1x10,source_3,True,47.48,40.36,mankind pharma ltd,Strip TABLET,aceclofenac 200 mg sustained release,10.0,20
source_2-39671,dolokind sr tablet,source_2,True,47.48,38.93,mankind pharma ltd,Unknown,aceclofenac 200mg,34.0,20
source_1-65166,dolokind sr tablet 10,source_1,True,69.0,60.7,mankind pharma pvt ltd,Strip | Tablet,aceclofenac 200mg,10.0,20
source_1-65167,dolokind tablet 10,source_1,True,38.5,33.9,mankind pharma pvt ltd,Strip | Tablet,aceclofenac 100mg,10.0,20
source_6-75859,dolokind tube 20gm gel,source_6,False,93.17,85.72,mankind pharmaceuticals ltd,TUBE,capsaicin 0 025 w w menthol 5 0 w w diclofenac sodium 1 0 w w methyl salicylate 5 0 w w,20.0,5
source_6-75860,dolokoff dx syrup 100 ml,source_6,True,90.0,90.0,micro labs,BOTTLE,dextromethorphan,100.0,30
source_1-65168,dolokoff dx syrup 100 ml,source_1,True,82.55,72.644,micro labs ltd,Bottle | Syrup,dexchlorpheniramine 4mg dextromethorphan 10mg,100.0,30
source_6-75861,dolokoff syrup 100ml,source_6,True,69.5,61.16,micro labs,BOTTLE,chlorpheniramine codeine,100.0,30
source_6-75862,dolokoff syrup 60ml,source_6,True,40.88,35.97,micro labs,BOTTLE,chlorpheniramine codeine,60.0,30
source_7-90462,dololax 100mg tablet,source_7,True,28.0,24.39,alpa laboratories ltd,Unknown,aceclofenac 100mg,10.0,20
source_6-75863,dololax tablet,source_6,True,9.4,8.27,helax healthcare,STRIP,aceclofenac 100 0 mg,10.0,20
source_7-90463,dololsac 50mg capsule dr,source_7,True,145.60905632772494,117.88129046242776,sac pharmaceuticals,Unknown,diacerein 50mg,22.986317567567568,23
source_6-75864,dololsac dr capsule,source_6,True,115.0,101.2,cipla ltd,STRIP,diacerein,10.0,23
source_6-75865,dololup 20mg injection 2ml,source_6,True,8.0,7.04,lupin,INJECTION,piroxicam 20 0 mg,2.0,18
source_7-90464,dololup 20mg tablet dt,source_7,True,6.37,6.2,lupin ltd,Unknown,piroxicam 20mg,10.0,17
source_6-75866,dololup dt 20 mg strip 10 tablet,source_6,True,6.37,5.61,lupin,STRIP,piroxicam 20 0 mg,10.0,17
source_7-90465,dolomade sp 100mg 325mg 15mg tablet,source_7,True,99.0,86.4,made inn healthcare pvt ltd,Unknown,aceclofenac 100mg paracetamol 325mg serratiopeptidase 15mg,10.0,27
source_7-90466,dolomade th 4mg 100mg 325mg tablet,source_7,True,149.0,144.0,made inn healthcare pvt ltd,Unknown,thiocolchicoside 4mg aceclofenac 100mg paracetamol 325mg,10.0,27
source_6-75867,dolomark d bottle 60ml suspension,source_6,False,39.6,34.85,unimarck pharma india ltd,BOTTLE,paracetamol acetaminophen 250 0 mg,60.0,30
source_7-90467,dolomark oral suspension,source_7,True,34.51,33.5,mcw healthcare,Unknown,ibuprofen 100mg paracetamol 125mg,60.0,30
source_7-90468,dolomas 100mg 325mg 250mg tablet mr,source_7,True,74.0,71.7,mas life science,Unknown,aceclofenac 100mg paracetamol 325mg chlorzoxazone 250mg,10.0,27
source_7-90469,dolomas 200mg tablet sr,source_7,True,52.0,45.36,mas life science,Unknown,aceclofenac 200mg,10.0,20
source_7-90470,dolomas p 100mg 325mg tablet,source_7,True,43.0,37.53,mas life science,Unknown,aceclofenac 100mg paracetamol 325mg,10.0,27
source_7-90471,dolomas sp 100mg 325mg 10mg tablet,source_7,True,93.0,81.18,mas life science,Unknown,aceclofenac 100mg paracetamol 325mg serratiopeptidase 10mg,10.0,27
source_7-90472,dolomax 650mg tablet,source_7,True,126.0,122.0,arist health care,Unknown,doxofylline 650mg,10.0,30
source_7-90473,dolomec 90 tablet,source_7,True,114.0,111.0,mcw healthcare,Unknown,etoricoxib 90mg,10.0,15
source_7-90474,dolomec ace tablet,source_7,True,31.5,30.5,mcw healthcare,Unknown,aceclofenac 100mg paracetamol 325mg,10.0,27
source_6-75868,dolomec ace tablet,source_6,True,33.85,29.79,mcw healthcare,STRIP,aceclofenac 100 0 mg paracetamol acetaminophen 325 0 mg,10.0,27
source_2-39675,dolomec dp 25mg injection,source_2,True,14.4,11.81,mcw healthcare,Unknown,diclofenac 25mg,10.8,27
source_6-75869,dolomec mf plus suspension 60ml,source_6,True,37.0,31.45,mcw healthcare,BOTTLE,mefenamic acid paracetamol,60.0,30
source_2-39676,dolomec mf plus syrup,source_2,True,37.99,31.15,mcw healthcare,Unknown,mefenamic acid 100mg paracetamol acetaminophen 125,30.0,30
source_6-75870,dolomec mf suspension 60ml,source_6,True,29.11,25.62,mcw healthcare,BOTTLE,mefenamic acid paracetamol,60.0,30
source_7-90476,dolomec mf syrup,source_7,True,28.35,27.5,mcw healthcare,Unknown,mefenamic acid 50mg 5ml paracetamol 125mg 5ml,60.0,30
source_7-90477,dolomec mr tablet,source_7,True,212.0,206.0,mcw healthcare,Unknown,etoricoxib 60mg thiocolchicoside 4mg,10.0,27
source_6-75871,dolomec relief gel 30 gm,source_6,True,62.0,54.56,mcw healthcare,TUBE,unknown,30.0,1
source_1-65176,dolomec sp tablet,source_1,True,69.8,61.424,mcw healthcare,Strip | Tablet,aceclofenac 100mg paracetamol 325mg serratiopeptidase 15mg,10.0,27
source_6-75872,dolomec sp tablet,source_6,True,69.8,61.42,mcw healthcare,STRIP,aceclofenac paracetamol serratiopeptidase,10.0,27
source_6-75873,dolomec strip 10 tablet,source_6,True,11.25,9.9,mcw healthcare,STRIP,ibuprofen 400 0 mg methionine 50 0 mg paracetamol acetaminophen 500 0 mg,10.0,30
source_1-65177,dolomec suspension,source_1,True,20.4,17.952,mcw healthcare,Bottle | Suspension,ibuprofen 100mg paracetamol 162 5mg,60.0,30
source_6-75874,dolomec suspension 60 ml,source_6,True,20.4,20.4,mcw healthcare,BOTTLE,unknown,60.0,1
source_2-39680,dolomec tablet,source_2,True,8.43,6.91,mcw healthcare,Unknown,ibuprofen 400mg methionine 50mg paracetamol acetam,5.8,30
source_7-90481,dolomed 100 mg 125 mg suspension,source_7,True,10.96,10.6,comed chemicals ltd,Unknown,ibuprofen 100mg paracetamol 125mg,60.0,30
source_7-90482,dolomed 100 mg 125 mg syrup,source_7,True,10.96,10.6,comed chemicals ltd,Unknown,ibuprofen 100mg paracetamol 125mg,50.0,30
source_6-75875,dolomed 100mg suspension 60ml,source_6,True,10.96,9.64,comed chemicals pvt ltd,BOTTLE,ibuprofen paracetamol,60.0,30
source_6-75876,dolomed 400 325 mg strip 10 tablet,source_6,True,14.5,14.5,comed chemicals pvt ltd,STRIP,ibuprofen 400 0 mg paracetamol acetaminophen 325 0 mg,10.0,30
source_7-90483,dolomed 400mg 325mg tablet,source_7,True,14.5,14.1,comed chemicals ltd,Unknown,ibuprofen 400mg paracetamol 325mg,10.0,30
source_6-75877,dolomed 600mg tablet,source_6,True,15.9,15.9,comed chemicals pvt ltd,STRIP,ibuprofen 600 0 mg paracetamol acetaminophen 325 0 mg,10.0,30
source_6-75878,dolomed 650mg strip 10 tablet,source_6,False,14.5,14.5,comed chemicals pvt ltd,STRIP,paracetamol acetaminophen 650 0 mg,10.0,30
source_6-75879,dolomed 650mg strip 15 tablet,source_6,False,30.8,27.1,comed chemicals pvt ltd,STRIP,paracetamol acetaminophen 650 0 mg,15.0,30
source_7-90484,dolomed 650mg tablet,source_7,False,33.5,24.93,comed chemicals ltd,Unknown,paracetamol 650mg,15.0,30
source_1-65178,dolomed 650 tablet 15,source_1,False,33.5,29.5,comed chemicals ltd,Strip | Tablet,paracetamol 650mg,15.0,30
source_6-75880,dolomed tablet,source_6,True,14.5,12.76,comed chemicals pvt ltd,STRIP,ibuprofen 400 0 mg paracetamol acetaminophen 500 0 mg,10.0,30
source_6-75881,dolomed gel 30gm,source_6,False,31.5,27.72,comed chemicals pvt ltd,TUBE,pain relif,30.0,5
source_1-65179,dolomed ibu tablet 10,source_1,True,17.0,14.9,comed chemicals ltd,Strip | Tablet,ibuprofen 400mg paracetamol 325mg,10.0,30
source_6-75882,dolomed mr strip 10 tablet,source_6,True,18.15,18.15,comed chemicals pvt ltd,STRIP,chlorzoxazone 250 0 mg ibuprofen 400 0 mg paracetamol acetaminophen 325 0 mg,10.0,27
source_7-90486,dolomed mr tablet,source_7,True,24.05,23.0,comed chemicals ltd,Unknown,ibuprofen 400mg paracetamol 325mg chlorzoxazone 250mg,10.0,27
source_1-65180,dolomed mr tablet 10,source_1,True,24.0,21.1,comed chemicals ltd,Strip | Tablet,chlorzoxazone 250mg ibuprofen 400mg paracetamol 325mg,10.0,27
source_6-75883,dolomed strip 10 tablet,source_6,True,15.9,15.9,comed chemicals pvt ltd,STRIP,ibuprofen 400 0 mg paracetamol acetaminophen 500 0 mg,10.0,30
source_6-75884,dolomed strip 20 tablet,source_6,True,15.08,13.27,comed chemicals pvt ltd,STRIP,ibuprofen paracetamol,20.0,30
source_6-75885,dolomed 100mg injection,source_6,True,15.0,13.2,comed chemicals pvt ltd,INJECTION,tramadol 100 0 mg,2.0,19
source_7-90487,dolomed 100mg tablet sr,source_7,True,145.60905632772494,117.88129046242776,comed chemicals ltd,Unknown,tramadol 100mg,22.986317567567568,19
source_6-75886,dolomed 37 5 mg capsule 10,source_6,True,100.0,88.0,comed chemicals pvt ltd,STRIP,unknown,10.0,1
source_6-75887,dolomed 50mg injection,source_6,True,12.0,10.56,comed chemicals pvt ltd,INJECTION,tramadol 50 0 mg,1.0,19
source_6-75888,dolomed sr 100mg tablet,source_6,True,100.0,88.0,comed chemicals pvt ltd,STRIP,tramadol 50 0 mg,10.0,19
source_1-65181,dolomed tablet 10,source_1,True,53.5,47.1,comed chemicals ltd,Strip | Tablet,paracetamol 325mg tramadol 37 5mg,10.0,28
source_1-65182,dolomed tablet 10,source_1,True,15.5,13.6,comed chemicals ltd,Strip | Tablet,ibuprofen 400mg paracetamol 325mg,10.0,30
source_7-90488,dolomeg 200mg 325mg tablet,source_7,True,48.0,46.5,egzeon pharmaceuticals pvt ltd,Unknown,diclofenac 200mg paracetamol 325mg,10.0,27
source_7-90489,dolomeg mr 250mg 200mg 325mg tablet,source_7,True,55.0,53.3,egzeon pharmaceuticals pvt ltd,Unknown,chlorzoxazone 250mg diclofenac 200mg paracetamol 325mg,10.0,27
source_7-90490,dolomeg sp 200mg 325mg 10mg tablet,source_7,True,75.0,72.7,egzeon pharmaceuticals pvt ltd,Unknown,diclofenac 200mg paracetamol 325mg serratiopeptidase 10mg,10.0,27
source_7-90491,dolomeg th 4mg 200mg tablet,source_7,True,182.0,176.0,egzeon pharmaceuticals pvt ltd,Unknown,thiocolchicoside 4mg diclofenac 200mg,10.0,27
source_7-90492,dolomet 500mg tablet,source_7,False,7.0,5.3,symet drugs ltd,Unknown,paracetamol 500mg,10.0,30
source_1-65184,dolomide tablet 10,source_1,True,52.0,45.8,ranbaxy pharma ltd,Strip | Tablet,nimesulide 100mg paracetamol 500mg,10.0,23
source_6-75889,dolomine 500mg tablet,source_6,False,74.5,65.56,cassel research laboratories,STRIP,paracetamol acetaminophen 500 0 mg,10.0,30
source_6-75890,dolomine 650mg tablet,source_6,False,18.0,15.3,cassel research laboratories,STRIP,paracetamol acetaminophen 650 0 mg,10.0,30
source_1-65185,dolomine 650 mg tablet 10,source_1,False,18.0,15.84,cassel research laboratories pvt ltd,Strip | Tablet,paracetamol 650mg,10.0,30
source_6-75891,dolomine plus tablet,source_6,True,20.79,17.67,cassel research laboratories,STRIP,aceclofenac paracetamol,10.0,27
source_2-39682,dolomine tablet,source_2,True,57.0,46.74,axon drugs pvt ltd,Unknown,doxylamine na vitamin b6 pyridoxine na,21.0,30
source_1-65186,dolomol 125mg oral suspension,source_1,False,21.25,18.7,micro labs ltd,Bottle | Suspension,unknown,60.0,1
source_6-75892,dolomol 125 mg syrup 60 ml,source_6,False,13.75,13.75,micro labs,BOTTLE,paracetamol acetaminophen 125 0 mg,60.0,30
source_2-39683,dolomol 250mg 5ml syrup,source_2,True,29.55,24.23,micro labs ltd,Unknown,paracetamol acetaminophen 250mg 5ml,8.4,30
source_6-75893,dolomol 250mg bottle 60ml suspension,source_6,False,37.71,32.05,micro labs,BOTTLE,paracetamol acetaminophen 250 0 mg 5ml,60.0,30
source_6-75894,dolomol 500mg tablet,source_6,False,9.96,9.96,micro labs,STRIP,paracetamol acetaminophen 500 0 mg,10.0,30
source_6-75895,dolomol 650 mg tablet 10,source_6,False,2.0,2.0,pangea pharma ltd,STRIP,unknown,10.0,1
source_2-39684,dolomol iv 100ml,source_2,True,279.0,228.78,micro labs ltd,Unknown,unknown,37.0,1
source_7-90494,dolomon sp tablet,source_7,True,119.0,115.0,m d pharmaceuticals pvt ltd,Unknown,aceclofenac 100mg paracetamol 325mg serratiopeptidase 15mg,10.0,27
source_1-65189,dolomon th 4 tablet,source_1,True,175.0,154.0,m d pharmaceuticals pvt ltd,Strip | Tablet,aceclofenac 100mg thiocolchicoside 4mg,10.0,27
source_1-65190,dolomor cold d suspension 60 ml,source_1,True,90.0,79.2,unipark biotech pvt ltd,Bottle | Oral Suspension,chlorpheniramine 2mg paracetamol 250mg phenylephrine 5mg,60.0,30
source_1-65191,dolomor cold susension 60 ml,source_1,True,75.0,66.0,unipark biotech pvt ltd,Bottle | Suspension,chlorpheniramine 1mg paracetamol 125mg phenylephrine 2 5mg,60.0,30
source_1-65192,dolomor gel 30 gm,source_1,False,99.0,87.1,unipark biotech pvt ltd,Tube | Gel,diclofenac 1 w w linseed oil 3 w w menthol 5 w w methyl salicylate 10 w w,30.0,5
source_1-65193,dolomor gel 50 gm,source_1,False,170.0,149.6,unipark biotech pvt ltd,Tube | Gel,diclofenac 1 w w linseed oil 3 w w menthol 5 w w methyl salicylate 10 w w,50.0,5
source_1-65194,dolomor mr tablet 10,source_1,True,91.0,80.1,unipark biotech pvt ltd,Strip | Tablet,chlorzoxazone 250mg diclofenac 50mg paracetamol 325mg,10.0,27
source_1-65195,dolomor p tablet 10,source_1,True,50.0,44.0,unipark biotech pvt ltd,Strip | Tablet,diclofenac 50mg paracetamol 325mg,10.0,27
source_1-65196,dolomor plus tablet 10,source_1,True,69.0,60.7,unipark biotech pvt ltd,Strip | Tablet,caffeine 30mg diphenhydramine 25mg paracetamol 325mg phenylephrine 5mg,10.0,29
source_1-65197,dolomor sp tablet 10,source_1,True,81.0,71.3,unipark biotech pvt ltd,Strip | Tablet,diclofenac 50mg paracetamol 325mg serratiopeptidase 10mg,10.0,27
source_1-65198,dolomor tablet 10,source_1,True,149.0,131.1,unipark biotech pvt ltd,Strip | Tablet,diclofenac 50mg tolperisone 150mg,10.0,27
source_6-75896,dolona injection,source_6,True,5.16,4.54,agron remedies,INJECTION,diclofenac 75 0 mg,3.0,27
source_6-75897,dolona p tablet,source_6,True,104.0,91.52,agron remedies,STRIP,diclofenac potassium paracetamol,10.0,27
source_1-65199,dolonac gel 30 gm,source_1,False,149.5,131.6,sumac pharma pvt ltd,Tube | Gel,diclofenac sodium 1 w w linseed oil 3 w w methyl salicylate menthol 5 w w,30.0,5
source_7-90496,dolonac p tablet,source_7,True,45.0,43.6,baroque pharmaceuticals pvt ltd,Unknown,diclofenac 50mg paracetamol 325mg,10.0,27
source_1-65201,dolonac pc tablet,source_1,True,52.0,45.76,baroque pharmaceuticals pvt ltd,Strip | Tablet,chlorzoxazone 500mg diclofenac 50mg paracetamol 325mg,10.0,27
source_1-65202,dolonar 20mg tablet dt,source_1,True,47.0,41.36,zennar life sciences,Strip | Tablet,piroxicam 20mg,10.0,17
source_7-90499,dolonase 50 mg 10 mg tablet,source_7,True,53.93,52.3,profess health products pvt ltd,Unknown,diclofenac 50mg serratiopeptidase 10mg,10.0,27
source_7-90500,dolonase tablet,source_7,True,30.75,29.8,profess health products pvt ltd,Unknown,aceclofenac 100mg paracetamol 325mg,10.0,27
source_6-75898,dolonase tablet 10,source_6,True,35.0,30.8,profess health products pvt ltd,STRIP,aceclofenac 100 0 mg paracetamol acetaminophen 325 0 mg,10.0,27
source_6-75899,dolonase sp tablet 10,source_6,True,82.0,82.0,profess health products pvt ltd,STRIP,diclofenac 50 0 mg serratiopeptidase 10 0 mg,10.0,27
source_6-75900,dolonase spray 60 ml,source_6,True,175.0,154.0,profess health products pvt ltd,BOTTLE,unknown,60.0,1
source_6-75901,dolonase strip 10 tablet,source_6,True,64.0,64.0,profess health products pvt ltd,STRIP,diclofenac 50 0 mg serratiopeptidase 10 0 mg,10.0,27
source_1-65203,dolonase tablet 10,source_1,True,64.0,56.3,profess health product pvt ltd,Strip | Tablet,diclofenac 50mg serratiopeptidase 10mg,10.0,27
source_7-90501,dolonat tablet,source_7,True,145.60905632772494,117.88129046242776,pfizer ltd,Unknown,tramadol 37 5mg paracetamol 325mg,22.986317567567568,28
source_1-65204,dolonat tablet,source_1,True,53.0,46.64,phizer ltd,Strip | Tablet,paracetamol 325mg tramadol 37 5mg,10.0,28
source_6-75903,dolonek excel gel,source_6,True,60.0,52.8,kentreck laboratories pvt ltd,TUBE,benzyl alcohol diclofenac menthol methyl salicylate,30.0,5
source_6-75904,doloneuron 100mg strip 10 tablet,source_6,True,140.0,123.2,pulse pharmaceuticals pvt ltd,STRIP,vitamin b12 mecobalamin cynocobalamin methylcobalamin 500 0 mcg gabapentin 100 0 mg,10.0,3
source_6-75905,doloneuron 100mg strip 15 tablet,source_6,True,153.11,134.74,pulse pharmaceuticals pvt ltd,STRIP,vitamin b12 mecobalamin cynocobalamin methylcobalamin 500 0 mcg gabapentin 100 0 mg,15.0,3
source_7-90502,doloneuron 100 tablet,source_7,True,168.0,141.3,pulse pharmaceuticals,Unknown,gabapentin 100mg methylcobalamin 500mcg,15.0,3
source_1-65205,doloneuron 100 tablet 15,source_1,True,168.0,147.8,pulse pharmaceuticals,Strip | Tablet,gabapentin 100mg methylcobalamin 500mcg,15.0,3
source_6-75906,doloneuron 300mg strip 10 tablet,source_6,True,190.32,177.0,pulse pharmaceuticals pvt ltd,STRIP,gabapentin 300 0 mg vitamin b12 mecobalamin cynocobalamin methylcobalamin 500 0 mcg,10.0,3
source_7-90503,doloneuron 300 tablet,source_7,True,205.5,184.5,pulse pharmaceuticals,Unknown,gabapentin 300mg methylcobalamin 500mcg,10.0,3
source_1-65206,doloneuron 300 tablet 10,source_1,True,205.5,180.8,pulse pharmaceuticals,Strip | Tablet,gabapentin 300mg methylcobalamin 500mcg,10.0,3
source_6-75907,doloneuron nt 100 10mg strip 10 tablet,source_6,True,79.0,69.52,pulse pharmaceuticals pvt ltd,STRIP,nortriptyline 10 0 mg gabapentin 100 0 mg,10.0,3
source_7-90504,doloneuron nt 100 tablet,source_7,True,95.0,85.5,pulse pharmaceuticals,Unknown,gabapentin 100mg nortriptyline 10mg,10.0,3
source_1-65207,doloneuron nt 100 tablet 10,source_1,True,95.0,83.6,pulse pharmaceuticals,Strip | Tablet,gabapentin 100mg nortriptyline 10mg,10.0,3
source_7-90505,doloneuron nt 200 tablet,source_7,True,174.5,144.0,pulse pharmaceuticals,Unknown,gabapentin 200mg nortriptyline 10mg,10.0,3
source_1-65208,doloneuron nt 200 tablet 10,source_1,True,174.5,153.6,pulse pharmaceuticals,Strip | Tablet,gabapentin 200mg nortriptyline 10mg,10.0,3
source_6-75908,doloneuron nt 400mg strip 10 tablet,source_6,True,237.0,208.56,pulse pharmaceuticals pvt ltd,STRIP,gabapentin 400 0 mg nortriptyline 10 0 mg,10.0,3
source_1-65209,doloneuron nt capsule 10,source_1,True,284.5,250.4,pulse pharmaceuticals,Strip | Capsule,gabapentin 400mg nortriptyline 10mg,10.0,3
source_2-39690,doloneuron nt tablet,source_2,True,86.5,70.93,pulse pharmaceuticals,Unknown,gabapentin 400mg nortriptyline 10mg,10.0,3
source_6-75909,doloneuron pg 75mg capsule,source_6,True,79.0,79.0,pulse pharmaceuticals pvt ltd,STRIP,vitamin b12 mecobalamin cynocobalamin methylcobalamin 750 0 mcg pregabalin 75 0 mg,10.0,3
source_2-39691,doloneuron pg 75mg capsule,source_2,True,79.0,64.78,pulse pharmaceuticals,Unknown,methylcobalamin mecobalamin 750mcg pregabalin 75mg,8.0,3
source_2-39692,dolonex 10mg capsule,source_2,True,69.77,57.21,pfizer ltd,Unknown,piroxicam 10mg,20.0,17
source_6-75911,dolonex 20mg ampoule 1ml injection,source_6,True,31.85,26.44,pfizer ltd,AMPOULE,piroxicam 20 0 mg,1.0,18
source_2-39693,dolonex 20mg capsule,source_2,True,196.22,160.9,pfizer ltd,Unknown,piroxicam 20mg,10.0,17
source_6-75912,dolonex 20mg strip 10 capsule,source_6,True,189.47,166.73,pfizer ltd,STRIP,piroxicam 20 0 mg,10.0,17
source_1-65210,dolonex 40 mg im injection 5 x 2 ml,source_1,True,320.0,281.6,pfizer ltd,Box | Injection,piroxicam 40mg,5.0,18
source_2-39694,dolonex 40 mg injection,source_2,True,165.0,135.3,pfizer ltd,Unknown,piroxicam 40mg,15.0,18
source_6-75913,dolonex 5mg gel 15gm,source_6,False,79.75,70.18,pfizer ltd,TUBE,piroxicam 5 0 mg,15.0,17
source_6-75914,dolonex dt 10mg strip 15 tablet,source_6,True,178.4,156.99,pfizer ltd,STRIP,piroxicam 10 0 mg,15.0,17
source_3-2159,dolonex dt 20mg tab 1x15,source_3,True,237.0,201.45,pfizer pharmaceutical india pvt ltd,Strip,piroxicam 20 mg,15.0,17
source_6-75915,dolonex dt 20mg tablet,source_6,True,215.82,189.92,pfizer ltd,STRIP,piroxicam 20 0 mg,10.0,17
source_2-39695,dolonex dt 20mg tablet,source_2,True,237.0,194.34,pfizer ltd,Unknown,piroxicam 20mg,11.0,17
source_1-65211,dolonex dt 20 mg tablet 10,source_1,True,215.5,189.6,pfizer ltd,Strip | Tablet,piroxicam 20mg,10.0,17
source_1-65212,dolonex dt 20 mg tablet 15,source_1,True,237.0,208.6,pfizer ltd,Strip | Tablet,piroxicam 20mg,15.0,17
source_6-75916,dolonex dt 20 strip 15 tablet,source_6,True,237.0,208.56,pfizer ltd,STRIP,piroxicam 20 0 mg,15.0,17
source_6-75917,dolonex e 120 mg strip 15 tablet,source_6,True,306.87,270.05,pfizer ltd,STRIP,etoricoxib 120 0 mg,15.0,15
source_7-90510,dolonex e 120mg tablet,source_7,True,306.87,276.18,pfizer ltd,Unknown,etoricoxib 120mg,15.0,15
source_1-65213,dolonex e 120 mg tablet 15,source_1,True,306.5,269.72,pfizer ltd,Strip | Tablet,etoricoxib 120mg,15.0,15
source_6-75918,dolonex e 60mg strip 15 tablet,source_6,True,211.18,179.5,pfizer ltd,STRIP,etoricoxib 60 0 mg,15.0,15
source_7-90511,dolonex e 60mg tablet,source_7,True,211.18,202.0,pfizer ltd,Unknown,etoricoxib 60mg,15.0,15
source_1-65214,dolonex e 60 mg tablet 15,source_1,True,211.0,185.68,pfizer ltd,Strip | Tablet,etoricoxib 60mg,15.0,15
source_6-75919,dolonex e 90mg strip 15 tablet,source_6,True,237.58,209.07,pfizer ltd,STRIP,etoricoxib 90 0 mg,15.0,15
source_7-90512,dolonex e 90mg tablet,source_7,True,261.146,237.58,pfizer ltd,Unknown,etoricoxib 90mg,15.0,15
source_1-65215,dolonex e 90 tablet 15,source_1,True,237.5,209.0,pfizer ltd,Strip | Tablet,etoricoxib 90mg,15.0,15
source_7-90513,dolonex gel,source_7,False,95.65599999999999,79.75,pfizer ltd,Unknown,piroxicam 0 5 w w,15.0,17
